ID,Year,Config,AP,V_kud,BV_kud,Obs_RV,Hel_RV,High_Res_RV,ID_kud,RA,Dec,X,Y,Prob,2MASS,r_2mass,RA_2mass,Dec_2mass,J,Jerr,H,Herr,K,Kerr,IR_Flags,RA_deg,Dec_deg,EBV,Mv,Teff_BV,Teff_VK,Teff_JK,logg,logg_bv,Teff_Final,Logg_Final,Teff_Avg,Logg_Avg,Duplicated,idcombined,hcn,cn41,hwch,hcn_noscale,cn41_noscale,hwch_noscale,Branch,ofe,ofe_flag,nafe,nafe_flag,Teff_Cord,Teff_Ram,logg_Ram,cfe_avgofe,nfe_avgofe,cfe_cn41_avgofe,nfe_cn41_avgofe,[C/Fe],[N/Fe],Fit_x,[C/Fe]_cn41,[N/Fe]_cn41,Fit_y,[C/Fe]_cratio50,[N/Fe]_cratio50,Fit_cratio50,dis,m275,m336,m438,r_hst,deltahcn,deltacn41,deltahwch
1-46,2014,br1,10.0,12.29,1.75,-18.4536,-21.6561,-24.6,5,19:53:51.49,18:48:06.0,76.61,84.01,96,19535150+1848059,0.173,19:53:51.501,+18:48:05.91,9.079,0.044,8.207,0.034,7.968,0.021,AAA,298.464541667,18.8016666667,0.28,-1.438,3972.097674,3868.77761,3841.788604,0.927867,1.037042,3868.77761,0.927867,3920.437642,0.9824545,False,5_br1_2014,-0.157,0.202,0.347,0.064,0.318,0.524,0,0.52,cord,0.32,cord,3880.0,-99.999,-99.999,-1.1041,2.496796,-1.591029,2.488458,-1.211394,2.496698,0.033136,-1.64375,-0.458333,0.057706,-1.211394,2.496698,0.033136,0.0298998323168,99.999,99.999,99.999,99.999,-0.0805948925123,-0.0814850583465,-0.00466428867574
1-7,2014,br1,14.0,14.65,1.12,-17.0321,-20.2346,-20.9,237,19:53:48.66,18:45:27.6,36.39,-74.34,95,19534866+1845276,0.043,19:53:48.662,+18:45:27.63,12.584,0.025,11.999,0.033,11.885,0.018,AAA,298.45275,18.7576666667,0.26,0.984,4875.508448,4902.777346,4828.062356,2.630933,2.617396,4902.777346,2.630933,4889.142897,2.6241645,False,237_br1_2014,0.203,0.252,0.292,0.412,0.326,0.406,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.407215,1.189503,-0.411209,1.538623,-0.33582,1.172588,0.003,-0.448512,1.358825,0.001,-0.296355,1.351413,0.001,0.0231674923256,19.145,16.82,15.999,2.74324220398e-05,0.0908582956418,0.13295076503,-0.027854910087
X,2014,br1,15.0,14.4,1.07,-15.8893,-19.0918,-20.8,153,19:53:41.09,18:44:11.2,-71.13,-150.75,96,19534108+1844112,0.049,19:53:41.090,+18:44:11.25,12.388,0.025,11.837,0.029,11.814,0.022,AAA,298.421208333,18.7364444444,0.3,0.61,5092.964908,5203.061407,5365.63704,2.619168,2.570825,5203.061407,2.619168,5148.0131575,2.5949965,True,153_br1_2014,0.143,0.158,0.278,0.354,0.23,0.39,2,99.0,cord,0.17,cord,5145.0,-99.999,-99.999,-0.230557,1.179901,-0.24078,1.301667,-0.110632,1.190845,0.003,-0.247493,1.101401,0.001,-0.099066,1.281192,0.00316,0.047764608482,99.999,99.999,99.999,99.999,0.236031410521,0.0721434564909,-0.0168285586205
CF8,2014,br1,27.0,13.74,1.44,-20.0082,-23.2107,-20.2,15,19:53:29.25,18:45:58.4,-239.2,-43.55,84,19532925+1845584,0.118,19:53:29.256,+18:45:58.48,11.23,0.025,10.498,0.031,10.333,0.018,AAA,298.371875,18.7662222222,0.31,-0.081,4428.145116,4415.676769,4320.954403,1.92805,1.936237,4415.676769,1.92805,4421.9109425,1.9321435,False,15_br1_2014,0.085,0.155,0.363,0.295,0.232,0.495,0,0.281,carr_g,0.228,carr_g,-99.999,-99.999,-99.999,-0.343247,0.87688,-0.340176,0.797438,-0.368806,0.842942,0.002236,-0.449857,0.195351,0.001,-0.368806,0.842942,0.002236,0.0692380236548,99.999,99.999,99.999,99.999,-0.211771169448,-0.0752335088121,0.0200198421676
S154,2014,br1,47.0,13.41,1.56,-21.4648,-24.6673,99.0,9,19:53:36.27,18:49:29.6,-139.55,167.63,86,19533626+1849297,0.11,19:53:36.269,+18:49:29.71,10.686,0.029,9.904,0.03,9.756,0.02,AAA,298.401125,18.8248888889,0.32,-0.442,4269.183065,4257.448939,4251.152789,1.673936,1.682487,4257.448939,1.673936,4263.316002,1.6782115,False,9_br1_2014,0.335,0.327,0.346,0.57,0.421,0.486,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.53853,1.983196,-0.528279,1.649674,-0.567259,1.709926,0.001,-0.649349,1.330619,0.001,-0.567259,1.709926,0.001,0.0609340604275,99.999,99.999,99.999,99.999,0.0761412000955,0.0707518218862,-0.00169584376533
KC-226,2014,br1,50.0,14.79,1.13,-13.6381,-16.8406,-20.5,226,19:53:41.86,18:46:00.2,-60.19,-41.79,92,19534186+1846001,0.025,19:53:41.862,+18:46:00.20,12.708,0.027,12.056,0.029,12.002,0.02,AAA,298.424416667,18.7667222222,0.28,1.062,4893.873453,4924.861935,4833.326403,2.672957,2.657734,4924.861935,2.672957,4909.367694,2.6653455,False,226_br1_2014,0.3,0.266,0.3,0.527,0.346,0.422,0,0.327,carr_g,0.422,carr_g,-99.999,-99.999,-99.999,-0.359266,1.302472,-0.347023,1.501031,-0.279593,1.279822,0.0,-0.389593,1.388553,0.001414,-0.266917,1.488698,0.001,0.0221173677768,19.136,16.861,16.071,1.88311339158e-05,0.202670237211,0.156498052917,-0.0183733531365
1-75,2014,br1,53.0,14.85,1.29,-16.9506,-20.1531,-21.6,217,19:53:41.57,18:47:42.9,-64.29,60.99,96,19534157+1847430,0.131,19:53:41.571,+18:47:43.03,12.619,0.029,12.026,0.029,11.94,0.022,AAA,298.423208333,18.79525,0.3,1.06,4649.037047,4840.618404,4955.443413,2.630189,2.528971,4840.618404,2.630189,4744.8277255,2.57958,True,217_br1_2014,0.423,0.282,0.325,0.699,0.396,0.494,0,99.0,cord,0.62,cord,4870.0,-99.999,-99.999,-0.289874,1.411586,-0.289296,1.408456,-0.22732,1.343748,0.004123,-0.356529,1.337866,0.001414,-0.230109,1.660396,0.001,0.0251881537917,99.999,99.999,99.999,99.999,0.270655133074,0.192094887528,0.00123081220913
1-83,2014,br1,55.0,13.34,1.46,-18.3654,-21.5679,-20.8,6,19:53:46.60,18:46:41.1,7.1,-0.87,79,19534660+1846411,0.055,19:53:46.602,+18:46:41.14,10.693,0.032,9.964,0.032,9.858,0.025,AAA,298.444166667,18.7780833333,0.28,-0.388,4354.401135,4313.787121,4447.826341,1.73594,1.764108,4313.787121,1.73594,4334.094128,1.750024,False,6_br1_2014,0.078,0.18,0.36,0.304,0.259,0.489,0,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.438951,1.025307,-0.435895,0.925444,-0.390299,0.981007,0.002828,-0.47643,0.318713,0.001,-0.390299,0.981007,0.002828,0.00119281051941,19.519,16.21,14.864,1.29858470435e-05,-0.201222177164,-0.076362405896,0.0138437174901
1-34,2014,br1,57.0,14.45,1.05,-17.1237,-20.3262,-25.7,87,19:53:49.87,18:47:00.3,53.41,18.37,97,19534986+1847003,0.147,19:53:49.862,+18:47:00.39,12.425,0.066,11.984,0.062,11.878,0.054,AAA,298.457791667,18.7834166667,0.28,0.722,5092.964908,5167.457064,5446.427566,2.648586,2.615625,5167.457064,2.648586,5130.210986,2.6321055,False,87_br1_2014,0.129,0.148,0.223,0.348,0.223,0.328,2,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.512756,1.406546,-0.51218,1.45008,-0.391895,1.398449,0.002,-0.528321,1.206053,0.001,-0.387658,1.50367,0.002,0.013986045135,17.843,15.984,15.447,2.79309664568e-05,0.198643249814,0.0623220177493,-0.0754032405899
1-89,2014,br1,60.0,14.37,1.05,-17.4278,-20.6303,-21.0,146,19:53:43.10,18:45:09.7,-42.47,-92.28,96,19534310+1845097,0.159,19:53:43.110,+18:45:09.78,12.185,9.999,11.937,0.064,11.881,0.057,UAA,298.429583333,18.7526944444,0.26,0.704,5043.754882,5210.772978,6808.410504,2.66007,2.58604,5043.754882,2.58604,5043.754882,2.58604,False,146_br1_2014,-0.1,0.089,0.322,0.119,0.16,0.439,2,99.999,none,99.999,none,-99.999,-99.999,-99.999,-0.213155,0.640123,-0.211875,0.67975,-0.077921,0.637972,0.002236,-0.217372,0.170305,0.001,-0.078035,0.696735,0.00141,0.0296835643137,99.999,99.999,99.999,99.999,-0.115161318413,-0.0131396600567,0.0125134578226
