id   Names        X       Y       RA      DEC         V    BV  Prob 
    1  1-78       -126.82   38.15  19:53:37.17  18:47:20.1   12.79  1.49   0
    2  A9         -122.55 -102.30  19:53:37.47  18:44:59.6   12.94  1.57  94
    3  B,V2         47.04 -135.15  19:53:49.41  18:44:26.8   12.08  1.87  96
    4  A1,CF12     130.32  -29.43  19:53:55.27  18:46:12.5   12.85  0.29  82
    5  1-46         76.61   84.01  19:53:51.49  18:48:06.0   12.29  1.75  96
    6  1-83          7.10   -0.87  19:53:46.60  18:46:41.1   13.34  1.46  79
    7  S179        -53.30  267.74  19:53:42.34  18:51:09.7   13.05  1.35   2
    8  S182        -42.19  235.08  19:53:43.13  18:50:37.0   13.60  1.15   0
    9  S154       -139.55  167.63  19:53:36.27  18:49:29.6   13.41  1.56  86
   10  S152       -143.35  146.63  19:53:36.00  18:49:08.6   13.59  1.55   0
   11  KC-11      -225.10   84.25  19:53:30.25  18:48:06.2   13.99  1.87   0
   12  KC-12      -256.64   46.21  19:53:28.02  18:47:28.1   14.30  1.11  38
   13  KC-13      -241.37   32.07  19:53:29.10  18:47:14.0   13.98  0.76   0
   14  S125       -269.99  -43.05  19:53:27.09  18:45:58.9   13.30  1.30  82
   15  CF8        -239.20  -43.55  19:53:29.25  18:45:58.4   13.74  1.44  84
   16  CF9        -187.93  -18.60  19:53:32.87  18:46:23.3   12.46  1.31   0
   17  A5         -180.90  -93.47  19:53:33.37  18:45:08.5   13.73  1.44  35
   18  A6,CF7     -243.98  -91.90  19:53:28.92  18:45:10.0   12.40  1.78  31
   19  CF6        -241.93 -133.20  19:53:29.07  18:44:28.7   11.84  0.20   4
   20  S134       -188.17 -204.75  19:53:32.86  18:43:17.2   13.85  1.74   0
   21  S142       -119.57 -230.16  19:53:37.68  18:42:51.8   12.27  1.72  63
   22  KC-22       -98.17 -158.98  19:53:39.18  18:44:03.0   13.93  1.37  94
   23  S           -88.52 -169.00  19:53:39.87  18:43:53.0   12.94  1.51  94
   24  S207        113.20 -214.01  19:53:54.07  18:43:07.9   13.42  1.52   0
   25  S225        181.13 -195.77  19:53:58.85  18:43:26.2   13.36  1.67   0
   26  S228        176.76 -121.37  19:53:58.55  18:44:40.6   13.64  0.41  97
   27  KC-27       233.65  -58.51  19:54:02.55  18:45:43.4   14.10  1.19  82
   28  KC-28       220.17  -42.63  19:54:01.59  18:45:59.3   13.72  1.92   0
   29  KC-29       199.24  -22.81  19:54:00.13  18:46:19.1   14.16  1.28   0
   30  S247        248.10   67.90  19:54:03.57  18:47:49.8   13.69  1.76   2
   31  U,CF3       221.06   78.15  19:54:01.66  18:48:00.1   12.98  0.61   0
   32  CF2         207.90  144.11  19:54:00.74  18:49:06.0   12.61  1.26  73
   33  KC-33       169.88  154.85  19:53:58.07  18:49:16.8   14.11  1.20   0
   34  T,CF11      -11.11  174.37  19:53:45.31  18:49:36.3   12.20  1.20   0
   35  CF10        -14.98  160.50  19:53:45.04  18:49:22.5   13.64  0.23  95
   36  1-76       -106.05   73.49  19:53:38.63  18:47:55.5   14.11  1.42   0
   37  1-77       -121.09   46.53  19:53:37.58  18:47:28.5   12.65  1.73  90
   38  1-79       -112.54    7.78  19:53:38.17  18:46:49.7   13.99  1.43  79
   39  KC-39      -161.75  -20.57  19:53:34.71  18:46:21.4   14.09  1.42  95
   40  Y           -68.06 -133.62  19:53:41.30  18:44:28.3   13.87  1.27   0
   41  N           -17.68 -108.85  19:53:44.85  18:44:53.1   13.44  1.29   0
   42  A7            5.45 -156.18  19:53:46.48  18:44:05.8   13.45  1.45   0
   43  A,CF5        12.57 -135.44  19:53:46.98  18:44:26.5   10.70  0.53   0
   44  1-1          88.97 -107.79  19:53:52.35  18:44:54.2   14.03  1.26  96
   45  1-14        127.39  -67.47  19:53:55.06  18:45:34.5   13.77  1.26  96
   46  A4          101.54    5.15  19:53:53.24  18:46:47.1   12.20  1.69  97
   47  1-29        112.16   21.38  19:53:53.99  18:47:03.3   12.76  1.84  94
   48  1-27,V1     141.99   34.72  19:53:56.09  18:47:16.7   12.10  1.76  73
   49  S232        163.87   75.07  19:53:57.64  18:47:57.0   13.44  1.45  95
   50  1-49,CF13   129.35   96.66  19:53:55.21  18:48:18.6   11.99  1.33   0
   51  1-52         68.31  147.96  19:53:50.91  18:49:09.9   14.33  1.07  63
   52  1-53         64.42  145.46  19:53:50.64  18:49:07.4   12.97  1.61  97
   53  1-51         72.42  108.90  19:53:51.20  18:48:30.9   14.36  1.26  91
   54  1-55         37.01  110.70  19:53:48.71  18:48:32.7   14.26  1.10  95
   55  1-56         31.04  103.33  19:53:48.28  18:48:25.3   13.14  1.38  97
   61  1-45         30.82   80.24  19:53:48.27  18:48:02.2   12.36  1.76  97
   62  1-44         14.91   79.26  19:53:47.15  18:48:01.2   13.44  1.34  97
   63  1-113        -4.82   72.93  19:53:45.75  18:47:54.9   12.43  1.80  97
   64  1-63          6.59   62.18  19:53:46.56  18:47:44.1   13.53  1.26  96
   65  1-64          0.76   44.08  19:53:46.15  18:47:26.0   13.10  1.53  96
   66  1-71        -33.63   51.62  19:53:43.73  18:47:33.6   13.54  1.44  96
   67  1-74        -52.65   41.98  19:53:42.40  18:47:23.9   14.12  1.18   0
   68  1-107       -45.68   -4.55  19:53:42.88  18:46:37.4   13.70  1.13  93
   69  1-108,2-37  -61.81  -15.88  19:53:41.74  18:46:26.1   14.39  1.07  94
   70  1-96,2-51   -64.01  -24.64  19:53:41.59  18:46:17.3   13.04  1.28   0
   71  1-95,2-63   -71.95  -36.38  19:53:41.03  18:46:05.6   13.30  1.29  96
   72  1-97        -46.58  -28.94  19:53:42.81  18:46:13.0   14.15  1.29  84
   73  1-105       -43.01  -21.53  19:53:43.07  18:46:20.4   14.29  1.06  95
   74  1-104       -34.55  -22.80  19:53:43.67  18:46:19.2   14.38  1.06  96
   75  1-103       -33.89  -26.60  19:53:43.71  18:46:15.4   14.33  0.87  93
   76  1-98        -33.81  -29.47  19:53:43.71  18:46:12.5   14.36  1.03  96
   77  1-88        -18.36  -53.35  19:53:44.81  18:45:48.6   14.26  0.99  93
   78  1-87,2-158   -6.89  -51.79  19:53:45.62  18:45:50.2   14.37  1.05  97
   79  1-86         -6.01  -39.52  19:53:45.67  18:46:02.4   14.41  1.01  91
   80  1-8,2-220    26.48  -52.67  19:53:47.96  18:45:49.3   14.19  1.37  83
   81  1-10         47.75  -55.05  19:53:49.46  18:45:46.9   14.40  1.09  96
   82  1-9,2-239    41.89  -41.69  19:53:49.05  18:46:00.3   13.29  1.27  97
   83  1-18,2-292   81.64  -37.07  19:53:51.84  18:46:04.9   14.43  1.07  96
   84  1-19,2-287   71.51  -31.25  19:53:51.14  18:46:10.7   14.40  1.06  85
   85  1-31         86.57   15.81  19:53:52.19  18:46:57.8   14.32  0.89   0
   86  1-32         61.01   12.75  19:53:50.40  18:46:54.7   14.46  1.07  94
   87  1-34         53.41   18.37  19:53:49.87  18:47:00.3   14.45  1.05  97
   88  1-33         61.50   23.68  19:53:50.44  18:47:05.6   14.31  1.03  95
   89  1-39         37.51   35.46  19:53:48.74  18:47:17.4   14.52  1.10  92
   90  1-37         27.24   26.67  19:53:48.02  18:47:08.6   14.16  1.33  95
   91  1-41         22.25   36.84  19:53:47.67  18:47:18.8   14.41  1.13  82
   92  1-42         18.00   34.44  19:53:47.36  18:47:16.4   14.22  1.02  96
   93  1-68        -28.88   28.35  19:53:44.06  18:47:10.3   14.33  1.31  94
   94  1-67        -28.72   17.70  19:53:44.07  18:46:59.7   14.28  1.23  96
   95  1-106       -30.02   -9.64  19:53:43.99  18:46:32.3   14.36  0.89  94
   96  1-102       -16.32  -19.07  19:53:44.95  18:46:22.9   14.33  1.09  71
   97  1-101       -16.14  -22.55  19:53:44.96  18:46:19.4   14.27  1.00  96
   98  1-21         19.99  -25.00  19:53:47.50  18:46:17.0   13.02  1.49  97
   99  1-35         43.48    9.21  19:53:49.16  18:46:51.2   13.61  1.35  93
